,ctg18_51|[247:1240](+)|window_438--NPDC023046.gbff,ctg18_52|[1236:1671](+)|window_438--NPDC023046.gbff,ctg18_53|[1667:2594](+)|window_438--NPDC023046.gbff,ctg18_54|[2692:3271](-)|window_438--NPDC023046.gbff,ctg18_55|[3765:4569](+)|window_438--NPDC023046.gbff,ctg18_56|[4835:5330](-)|window_438--NPDC023046.gbff,ctg18_57|[5376:6171](-)|window_438--NPDC023046.gbff,ctg18_58|[6556:7969](+)|window_438--NPDC023046.gbff,ctg18_59|[8120:9077](+)|window_438--NPDC023046.gbff,ctg18_60|[9145:9589](-)|window_438--NPDC023046.gbff,ctg18_61|[9790:10576](+)|window_438--NPDC023046.gbff,ctg18_62|[10624:11392](+)|window_438--NPDC023046.gbff,ctg18_63|[11658:12516](+)|window_438--NPDC023046.gbff,ctg18_64|[12512:13178](+)|window_438--NPDC023046.gbff,ctg18_65|[13255:13591](+)|window_438--NPDC023046.gbff,ctg18_66|[13587:14181](+)|window_438--NPDC023046.gbff,ctg18_67|[14336:14705](+)|window_438--NPDC023046.gbff,ctg18_68|[14772:15117](-)|window_438--NPDC023046.gbff,ctg18_69|[15129:15357](-)|window_438--NPDC023046.gbff,ctg18_70|[15531:16251](-)|window_438--NPDC023046.gbff,ctg18_71|[16537:16753](+)|window_438--NPDC023046.gbff,ctg18_72|[16809:17655](+)|window_438--NPDC023046.gbff,ctg18_73|[17741:18713](-)|window_438--NPDC023046.gbff,ctg18_74|[18863:19286](+)|window_438--NPDC023046.gbff,ctg18_75|[20124:22197](+)|window_438--NPDC023046.gbff,ctg18_76|[22368:23745](+)|window_438--NPDC023046.gbff,ctg18_77|[23771:24416](+)|window_438--NPDC023046.gbff,ctg18_78|[24464:25469](+)|window_438--NPDC023046.gbff,ctg18_79|[25508:26648](+)|window_438--NPDC023046.gbff,ctg18_80|[26699:27881](-)|window_438--NPDC023046.gbff,ctg18_81|[27994:28969](-)|window_438--NPDC023046.gbff,ctg18_82|[28965:29916](-)|window_438--NPDC023046.gbff,ctg18_83|[30000:31527](-)|window_438--NPDC023046.gbff,ctg18_84|[31529:33245](-)|window_438--NPDC023046.gbff,ctg18_85|[33645:34338](+)|window_438--NPDC023046.gbff,ctg18_86|[34593:35037](-)|window_438--NPDC023046.gbff,ctg18_87|[35203:35635](-)|window_438--NPDC023046.gbff,ctg18_88|[35714:38054](+)|window_438--NPDC023046.gbff,ctg18_89|[38069:38687](+)|window_438--NPDC023046.gbff,ctg18_90|[38686:39724](+)|window_438--NPDC023046.gbff,ctg18_91|[39987:41268](-)|window_438--NPDC023046.gbff,ctg18_92|[41568:42762](+)|window_438--NPDC023046.gbff,ctg18_93|[42831:43695](-)|window_438--NPDC023046.gbff,ctg18_94|[43805:44378](+)|window_438--NPDC023046.gbff,ctg18_95|[44456:44999](+)|window_438--NPDC023046.gbff,ctg18_96|[45029:45518](-)|window_438--NPDC023046.gbff,ctg18_97|[45621:46029](-)|window_438--NPDC023046.gbff,ctg18_98|[46105:46732](+)|window_438--NPDC023046.gbff,ctg18_99|[46958:47774](+)|window_438--NPDC023046.gbff,ctg18_100|[47922:49095](+)|window_438--NPDC023046.gbff,ctg18_101|[49091:52178](+)|window_438--NPDC023046.gbff,ctg18_102|[52167:52614](-)|window_438--NPDC023046.gbff,ctg18_103|[52839:54015](-)|window_438--NPDC023046.gbff,ctg18_104|[54163:56059](-)|window_438--NPDC023046.gbff,ctg18_105|[56160:56796](-)|window_438--NPDC023046.gbff,ctg18_106|[56884:57163](-)|window_438--NPDC023046.gbff,ctg18_107|[57251:57791](+)|window_438--NPDC023046.gbff,ctg18_108|[57844:58078](+)|window_438--NPDC023046.gbff,ctg18_109|[58077:58449](+)|window_438--NPDC023046.gbff,ctg18_110|[58482:59871](-)|window_438--NPDC023046.gbff,ctg18_111|[59985:61377](-)|window_438--NPDC023046.gbff,ctg18_112|[61453:63025](-)|window_438--NPDC023046.gbff
window_324--NPDC006537.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_720--NPDC032246.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_438--NPDC023046.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
window_330--NPDC006439.gbff,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
window_389--NPDC053753.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
window_338--NPDC023457.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
window_448--NPDC007050.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
window_533--NPDC007986.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_601--NPDC045376.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
window_790--NPDC053754.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_653--NPDC059887.gbff,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window_798--NPDC024139.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
window_64--NPDC045938.gbff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1
window_106--GCA_900110755.1.gbff,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
